cell,slice,timestamp,pdcp_rate,utilization,volume,target_rate,prb
2,1, 2022/03/14 01:56:00,353793.2188,0.117216129,533.2402773,15345000,43
2,2, 2022/03/14 01:56:01,216910,0.058608065,199.9054293,5115000,23
2,1, 2022/03/14 01:56:01,400069.4375,0.11721611,714.924544,15345000,41
2,2, 2022/03/14 01:56:02,207917.1719,0.058608055,267.9211093,5115000,23
2,1, 2022/03/14 01:56:02,400069.4375,0.11721611,714.924544,15345000,41
2,2, 2022/03/14 01:56:03,207917.1719,0.058608055,267.9211093,5115000,23
2,1, 2022/03/14 01:56:03,350306.7813,0.11721611,714.924544,15345000,39
2,2, 2022/03/14 01:56:04,179158.7188,0.058608055,267.9211093,5115000,23
2,1, 2022/03/14 01:56:04,350306.8125,0.11721611,714.924544,15345000,38
2,2, 2022/03/14 01:56:05,179158.7188,0.058608055,267.9211093,5115000,24
2,1, 2022/03/14 01:56:05,350306.8125,0.11721611,714.924544,15345000,37
2,2, 2022/03/14 01:56:06,179158.7188,0.058608055,267.9211093,5115000,24
2,1, 2022/03/14 01:56:06,378298.3125,0.11721611,714.924544,15345000,36
2,2, 2022/03/14 01:56:07,227089.4844,0.058608055,267.9211093,5115000,23
2,1, 2022/03/14 01:56:07,266488.9063,0.11721611,732.9588907,15345000,37
2,2, 2022/03/14 01:56:08,138266.3281,0.058608055,274.7226667,5115000,24
2,1, 2022/03/14 01:56:08,228005.6406,0.11721611,732.9588907,15345000,40
2,2, 2022/03/14 01:56:09,175226.5313,0.058608055,274.7226667,5115000,23
2,1, 2022/03/14 01:56:09,228005.6406,0.11721611,732.9588907,15345000,44
2,2, 2022/03/14 01:56:10,175226.5313,0.058608055,274.7226667,5115000,25
2,1, 2022/03/14 01:56:11,228005.6406,0.11721611,732.9588907,15345000,48
2,2, 2022/03/14 01:56:11,175226.5313,0.058608055,274.7226667,5115000,26
2,1, 2022/03/14 01:56:12,126186.6641,0.175824165,732.9588907,15345000,56
2,2, 2022/03/14 01:56:12,138266.3281,0.058608055,274.7226667,5115000,29
2,1, 2022/03/14 01:56:13,126186.6641,0.175824165,732.9588907,15345000,66
2,2, 2022/03/14 01:56:13,175226.5313,0.058608055,274.7226667,5115000,31
2,1, 2022/03/14 01:56:14,71139.96094,0.23443222,732.9588907,15345000,87
2,2, 2022/03/14 01:56:14,138266.3281,0.058608055,274.7226667,5115000,35
2,1, 2022/03/14 01:56:15,0,0,734.4941227,15345000,10
2,2, 2022/03/14 01:56:15,0,0,275.224256,5115000,10
2,1, 2022/03/14 01:56:16,0,0,734.4941227,15345000,10
2,2, 2022/03/14 01:56:16,0,0,275.224256,5115000,10
2,1, 2022/03/14 01:56:17,0,0,734.4941227,15345000,10
2,2, 2022/03/14 01:56:17,0,0,275.224256,5115000,10
2,1, 2022/03/14 01:56:18,0,0,734.4941227,15345000,10
2,2, 2022/03/14 01:56:18,0,0,275.224256,5115000,10
2,1, 2022/03/14 01:56:19,0,0,734.4941227,15345000,10
2,2, 2022/03/14 01:56:19,0,0,275.224256,5115000,10
2,1, 2022/03/14 01:56:20,0,0,734.4941227,15345000,10
2,2, 2022/03/14 01:56:20,133292.9063,0.058604479,275.224256,5115000,38
2,1, 2022/03/14 01:56:21,42448.39844,0.058608055,156.8815893,15345000,129
2,2, 2022/03/14 01:56:21,34947.58203,0.11721611,63.680832,5115000,46
2,1, 2022/03/14 01:56:22,46447.47656,0.142590075,156.8815893,15345000,194
2,2, 2022/03/14 01:56:22,31061.93164,0.109889936,63.680832,5115000,58
